chapter,index,word,definition
10,244,unstable
10,245,jeopardy,"n. 위험,위난;(피고가유죄가될)가능성"
10,246,undermine
10,247,immortal,"a.죽지않는,불멸의,불변의,신의"
10,248,lethal,"a.치명적인,죽음에이르는,치사의"
10,249,dire
10,250,exterminate,"v.(종족,질병해충따위를)멸종시키다,박멸하다"
11,251,imminent,"a.(위험사태등이)임박한,촉박한"
11,252,occur
11,253,breakthrough
11,254,indispensable
11,255,crucial,"a.결정적인,중대한,(시련.문제등이)어려운,혹독한,십자형의"
11,256,promote,"vt.증진[촉진]하다,진척시키다."
11,257,exploit
11,258,auspicious,"a.길조의,상서로운,전도가밝은"
11,259,proceed,"vi.나아가다,가다,속행하다,계속하다"
11,260,accessible,"a.접근하기쉬운,닿을수있는"
11,261,comprehensive,"a.포괄적인,종합적인,넓은,광범위한,이해력이있는,이해가빠른"
11,262,plausible,"a.(말,진술등이)그럴듯한,정말같은"
11,263,down-to-earth
11,264,resolution
11,265,prescription,"n.처방[전],처방약"
11,266,erudite
11,267,elucidate,"v.(사실등을)명료하게하다,밝히다,해명하다,설명하다"
11,268,pretend,"v.가장하다,~인체하다,사칭하다"
11,269,assume
11,270,imitate
11,271,abstruse,"a.난해한,심오한"
11,272,nebulous,"a.희미한,불투명한,모호한,막연한"
11,273,discernible,a.인식[식별]할수 있는
11,274,blurred
11,275,furtive,"a.몰래하는,남의눈을속이는,은밀한"
12,276,consume
12,277,insatiable,"a.만족할줄모르는,탐욕스러운"
12,278,obesity
12,279,obedient
12,280,antidote,"n.해독제,(악영향등의)방어수단,대책,컴퓨터 바이러스예방프로그램"
12,281,emerge,"vt.(물,어둠속에서)나오다,나타나다"
12,282,merge,"v.병합[합병,통합]하다,융합하다(시키다)"
12,283,segregate,v.격리하다[시키다]
12,284,differentiate,"v.구별짓다,차별하다"
12,285,narrow
12,286,coerce,"vt.강제하다,위압하다,강요하다"
12,287,obstinate,"a.완고한,고집센,완강한,다루기힘든"
12,288,rebellious,"a.반항하는,반체제의,반란하는"
12,289,retaliate,"v.(같은방법으로)보복하다,앙갚음하다"
12,290,turmoil,"n.소란,소동,혼란"
12,291,reconcile,"vt.화해시키다,융화시키다,조화시키다"
12,292,dismay,"vt.실망[낙담]시키다,당황케하다 n.당황"
12,293,exacerbate
12,294,confused
12,295,contrast
12,296,appease,"vt.달래다,진정시키다"
12,297,tranquility,"n.평온,고요함,정적"
12,298,taciturn
12,299,divulge,"vt.(비밀따위를)누설[폭로]하다,밝히다"
12,300,disregard,"vt.무시[경사]하다,소흘히하다,;n.무시,경시"
13,301,absurd,"a.어리석은,우스꽝스러운,불합리한,모순된,부조리한;n.부조리"
13,302,mean
13,303,reliable
13,304,responsible
13,305,assiduous,"a.부지런한,근면한,지칠줄모르는,끊임없는,계속하는"
13,306,impeccable,"a.죄(과실)없는,결점없는,나무랄데없는"
13,307,accuse,"v.고발[기소,고소]하다,비난하다,책망하다"
13,308,culprit,"n.범인,죄인,범죄용의자,(문제나나쁜상황의)원인,미결수"
13,309,accomplice,"n.공범자,한패,한통속"
13,310,intrigue,"vt.당혹케하다,어찌할바를모르게하다,호기심을자극하다,흥미를돋구다,n.음모"
13,311,simultaneously,"Ad.동시에,일제히"
13,312,concurrent
13,313,coincide,"vt.동시에일어나다,(의견따위)일치하다,(성질따위)맞다,부합하다"
13,314,accidental,"a.우연의,뜻밖의"
13,315,continually,"Ad.계속적으로,끊임없이,줄곧,빈번히,자주"
13,316,acquit,"vt.무죄라고하다,(혐의를)벗겨주다,석방하다"
13,317,emancipate,"vt.(노예등을)해방하다,석방하다,(나쁜버릇등을)끊다"
13,318,counterfeit,"a.위조의,가짜의모조의,사이비의;n.위조물건;모조품;vt.모조하다,흉내내다"
13,319,forge,"vt.위조하다,(어렵게)만들어내다"
13,320,spurious
13,321,conceal,"vt,숨기다,비밀로하다"
13,322,trickery
13,323,pretentious
13,324,deprivation
13,325,delinquent,"n.(직무)태만자,a.비행을저지른,비행자의"
14,326,attract
14,327,entice,vt.꾀어서~시키다;부추기다;유혹하다
14,328,arduous,"a.(일이)힘드는,곤란한,분투적인,끈기있는,불굴의,험한,가파른"
14,329,stringent,"a.(규칙등이)엄중한,엄격한"
14,330,strict
14,331,hostile,"a.적의있는,적대하는,적의,적국의"
14,332,conflict,"vi.대립하다,충돌하다,싸우다,다투다,;n.싸움,전투,충돌"
14,333,refute,"vt.논박하다,반박하다"
14,334,disprove
14,335,subject
14,336,allege,"vt.(증거없이)주장하다,우겨대다,(변명으로)내세우다,(법정에서)증언하다"
14,337,compelling
14,338,coherent,"a,(이야기등이)일관성있는,조리가선,일치하는,알기쉬운,응집성의"
14,339,congruous,"a.일치하는,조화하는,적절한,적당한"
14,340,disrupt,vt.(제도국가등을)붕괴시키다;분열시키다
14,341,obvious
14,342,complicated
14,343,lucid
14,344,imperceptible
14,345,prescient
14,346,concede,"vt.(마지못해)인정하다,시인하다,승인하다,(권리.특권등을)부여하다 vi.양보하다"
14,347,conformity
14,348,comparison
14,349,accept,"vt(초대등)받아들이다,허락하다.(사태등)순응하다,감수하다,인정하다"
14,350,anticipate,"vt.기대하다,고대하다,얘기하다,예상하다;미리걱정하다,미연에방지하다;앞당기다"
15,351,loquacious,"a.수다스러운,말이많은"
15,352,tedious,"a.지루한,지겨운"
15,353,concise
15,354,diminish
15,355,deduct,"vt.빼다,공제하다,vi.(가치등이)떨어지다"
15,356,periphery,"n.<정치의)소수파,야당"
15,357,nominal
15,358,distraction,"n.기분전환,오락"
15,359,converge,"v.모으다,집중하다,(의견.행동등이)한데모아지다"
15,360,condense,"vt.요약하다,간략하게하다,농축하다,응축하다,집중시키다,모으다,줄어들다"
15,361,perfunctory,"a.마지못해하는,형식적인,기계적인"
15,362,frivolous,"a.천박한,경박한,경솔한"
15,363,impetuous,"a.(기질.행동등이)성급한,열렬한"
15,364,drastic,"a.격렬한,맹렬한,철저한,과감한,대폭적인,n.극약"
15,365,impending
15,366,fastidious,"a.까다로운,가리는,꼼꼼한"
15,367,adroit
15,368,vigilant,"a.경계하고있는,방심하지않는"
15,369,agile,"a.민첩한,기민한,재빠른,머리가좋은"
15,370,agitate,"vt.선동하다,동요시키다,(액체를)휘젓다"
15,371,genuine,"a.진짜의,진품의,성실한,진심의"
15,372,congenial,"a.(건강등에)알맞은;쾌적한,기분좋은,(성질.취미등이)같은,마음이맞는"
15,373,benign,"a.상냥한,친절한,자애로운,(기후.풍토가)좋은,온화한,(병등이)양성인"
15,374,inherent
15,375,extraneous,"a.비본질적인,(주제와)직접적인 관계가없는"
16,376,voluntarily
16,377,benevolent,"a.인자한,자비로운,인정많은,호의의"
16,378,destitute,"a.빈곤한,극빈의,궁핍한"
16,379,predicament,"n.곤경,궁지"
16,380,manage
16,381,adamant,"a.양보할줄 모르는,고집불통의 , 견고한,매우단단한 n.견고한것"
16,382,robust,"a.(체격이)강건한,건장한,튼튼한"
16,383,prodigious
16,384,considerable,"a.중요한,고려해야할,무시하지못할,적지않은,상당한,꽤많은"
16,385,extensive
16,386,desert,"n.사막,황야,불모지;a.사막같은,불모의;vt.버리다,유기하다,저버리다"
16,387,evacuate,"vt.(장소집등)비우다,명도하다,(위험지역에서)소개시키다,대피시키다."
16,388,inhabitant
16,389,inhibition,"n.금지,금제,억제,억압"
16,390,facilitate
16,391,expediency,"n.편법,편의주의"
16,392,isolate
16,393,proximity
16,394,contagious,"a.(접촉)전염성의;전염 독이있는,옮기쉬운,보균자의"
16,395,foundation
16,396,resentment,"n.분개,분노"
16,397,gloomy,"a.우울한,침울한,울적한,어두운,음침한,음울한,(성황.전망등)비관적인,암담한"
16,398,ominous,"a.불길한,나쁜징조의,기분나쁜"
16,399,eccentric,"a.(사람행동등이)별난,상궤를벗어난;n.기인,괴짜,별난것"
16,400,distort
17,401,disperse,"vt.흩뜨리다,퍼뜨리다,전파시키다"
17,402,permeate
17,403,inundate,"vt.(주로수동형)범람시키다,물에잠기게하다"
17,404,vanish,"vi.(갑자기)사라지다,없어지다,희미해지다"
17,405,recede
17,406,induce,"vt.권유하다,설득하여~시키다,일으키다,야기하다,유발하다"
17,407,abolish,"vt.(법률,제도등을)폐지하다"
17,408,supplant,"vt.(물건을)대체하다,(사물에)대신하다"
17,409,resume
17,410,resilience/cy
17,411,constant
17,412,fortuitous
17,413,autonomous,"a.자치권이 있는,자치의,자율의"
17,414,intermittent,"a.간헐적인,때때로의,단속적인"
17,415,staggering,"a.혼비백산케하는,압도[경이]적인"
17,416,cover
17,417,circumvent,"vt.(교묘하게)회피하다,남을속여넘기다,기만하다,~을돌다,~을우회하다"
17,418,refrain,"vt.그만두다,삼가다,자제하다"
17,419,menace,"v.위협하다,협박하다,겁주다;n.협박,위협,공갈"
17,420,impact,"n.영향(력),감화,효과"
17,421,punctuality
17,422,epitome
17,423,applaud
17,424,equal
17,425,similar
18,426,illiterate
18,427,retrospect,"vt.회고[회상]하다,추억에잠기다"
18,428,compound,"a.혼합의,합성의,복잡한;n.혼합물,합성물,vt.뒤섞다,혼합하다,타협짓다"
18,429,reciprocal
18,430,mutual
18,431,perishable
18,432,prevail,"vi.유행하다,보급되다,널리퍼지다,우세하다,압도하다,이기다"
18,433,profitable
18,434,lavish,"a.낭비벽이있는,사치스러운,무절제한,아끼지않은,후환,풍부한,넉넉한"
18,435,stingy
18,436,augment,v.증가시키다;증가하다
18,437,opulent,"a.부유한,풍부한,무성한"
18,438,copious,"a.풍부한,막대한,내용이풍부한"
18,439,distribute,"vt.분배하다,배당하다,배포하다"
18,440,deplete,"vt.다써버리다,고갈[소모]시키다"
18,441,despicable
18,442,humiliate,"vt.굴욕감을 느끼게하다,창피를주다"
18,443,mortify
18,444,stigma,"n.치욕,오명,오점"
18,445,acclaim,"vt.갈채하다,환호하다,찬양하다;큰소리로말하다,외치다"
18,446,acute,"a.(끝이)뾰족한,예리한,(감각이)예민한,(통증.감정이)격렬한,강렬한"
18,447,shrewd,"a.영리한,날카로운,빈틈없는,재빠른"
18,448,favorable
18,449,adverse,"a.반대하는,적의를 품은,반대인,반대쪽의,불리한,불운한"
18,450,ruthless
19,451,appalling
19,452,abhor
19,453,prowess,"n.훌륭한솜씨,용감,용맹,용감한행위"
19,454,undaunted
19,455,imperative,"a.피할수없는,필수적인,긴급한"
19,456,impregnable,"a.난공불락의,철벽의"
19,457,overwhelming
19,458,tenable
19,459,dismal,a.음침한(기분등이)우울한
19,460,alert
19,461,rampant,"a.(식물이)막연하는,무성한,우거진,(병.소문등이)유행하는,마구퍼지는"
19,462,intractable
19,463,belligerent,"a.호전적인,교전중인;교전국의,적국의,용감한n.교전국,전투원"
19,464,strenuous,"a.분투적인,불굴의,굽히지않는"
19,465,hazardous
19,466,colossal,"a.거대한,(수량등이)엄청난,<구어>놀라운,어마어마한"
19,467,impulsive
19,468,exuberant,"a.(활력.기쁨등이)넘쳐흐르는,충만한"
19,469,sanguine,"a.붉은,붉은핏빛의,혈색이좋은,명랑한,낙천적인"
19,470,exhilarating
19,471,nonchalant
19,472,skeptical,"a.의심많은,회의적인"
19,473,lethargic,"a.무기력한,활발하지못한,혼수의"
19,474,sluggish,"a.느린,완만한"
19,475,indolent,"a.게으른,무활동의;n.게으른사람"
20,476,acquire,"v.취득하다,습득하다,배우다,몸에익히다"
20,477,secure
20,478,secular,"a.이승의,속세의,현세의,비종교적인"
20,479,peculiar
20,480,retain,"vt.보유하다,유지하다,마음에간직하다,잊지않다"
20,481,prohibit
20,482,contract,"vi.수축하다,축소되다;vt.(~와)계약(약정)하다,(병)에걸리다;습관이붙다;n.계약 "
20,483,illegible
20,484,compensate,"vt.보상하다,배상하다,(결점등을)보완하다,상쇄하다"
20,485,afford,"v.주다,제공하다.~할 여유가있다"
20,486,trigger,"vt.(일을)시작하게하다,유발하다"
20,487,corollary
20,488,consequential
20,489,subsequent,"a.다음의,그후의,버금가는"
20,490,derivative
20,491,evade,"vt.(교묘하게)피하다,면하다,모면하다"
20,492,eschew
20,493,postpone
20,494,presume,"vt.가정하다,상상하다,~이라고 여기다"
20,495,impute,"vt.(죄원인등을)~의탓으로하다,전가하다,(성질,속성등을)~에게있다고 생각하다"
20,496,tamper,"vi.쓸데없는참견을하다,간섭하다,(원문의글귀등을)함부로변경하다,뇌물을주다"
20,497,convert
20,498,interrupt,"vt.중단시키다,방해하다,가로막다,저지하다"
20,499,encroach,"vt.(남의나라.땅을)침략하다,(남의권리등)침해하다"
20,500,impose
21,501,intact,"a.손대지않은,손상되자않은,완전한"
21,502,spot,"n.얼룩점,반점,(피부의)점;v.<구어>발견하다,불변[분간]하다"
21,503,tarnish,"vi.(광택등)흐려지다,더러워지다,vt.흐리게하다,녹슬게하다,변색시키다,더럽히다"
21,504,immaculate
21,505,squalid,"a.더러운,불결한,궁상스러운"
21,506,recurring,"a.되풀이해서일어나는,희귀하는"
21,507,sporadic(al)
21,508,endemic,"a.(동.식물이)그지방특산의,풍토성의;n.지방병,풍토병;(생물)고유증"
21,509,malicious
21,510,remedy
21,511,palpable
21,512,manifest,"vt.명백히하다,분명하게보여주다"
21,513,explicit,"a.명백한,분명한"
21,514,utter,"v.입밖에내다,누설하다,말하다"
21,515,luminous,"a.빛나는,번쩍이는,이해하기쉬운,명쾌한"
21,516,surreptitious,"a.비밀의,몰래하는,은밀한,무허가의,가짜의"
21,517,cryptic,"a.수수께끼 같은,신비스러운,숨은비밀의,이유를 알수없는"
21,518,unconscious
21,519,hypocrite
21,520,unwilling
21,521,minute,"a.미소한,미세한,상세한,정밀한"
21,522,meager
21,523,immediate
21,524,abruptly,"Ad.갑자기,불시에;뜻박에,급격하게"
21,525,succinct,"a.(말등이)간결한,간명한"
22,526,misdemeanor
22,527,plagiarism,"n.표절,도용,표절행위,표절물"
22,528,addict,"v.중독디다,탐닉하다 n.(마약등의)중동자,탐닉자"
22,529,abortion
22,530,infamous
22,531,arrogant,"a.거만한,오만한,젠체하는;건방진"
22,532,inordinate,"a.지나친,과도한;무절제한"
22,533,exorbitant
22,534,aberrant,"a.정도를벗어난,탈선적인,이상한형태의,변종의,n.돌연변이,괴짜,기인,변종"
22,535,idiosyncratic
22,536,protruding
22,537,eminent,"a.저명한,훌륭한;(지위.신분이)높은"
22,538,prominent
22,539,cerebrity
22,540,caliber,"n.(사람의)재능;도량,인품,(사물의)품질,등급,직경;(총포의)구경"
22,541,prior,"a.(시간.순서가)이전의,앞의"
22,542,posthumous,"a.사후의,사후에생긴"
22,543,descendant,"n.자손,후예"
22,544,vestige
22,545,substitute
22,546,classification,"n.분류(법),범주,유형"
22,547,embody
22,548,subsidiary
22,549,equitable
22,550,counterpart
23,551,propensity
23,552,prefer
23,553,familiarize
23,554,tolerate
23,555,impatient,"a.성급한,참을성없는,조바심하는,몹시~하고싶어하는"
23,556,carnivorous,"a.육식성의,육식동물의"
23,557,concoct,"vt.(음모등을)꾸미다,꾀하다,(이야기등을)꾸며내다,날조하다"
23,558,synthesis
23,559,complex,"a.복합의,복잡한,뒤얽힌 n.복합체,합성물,복합빌딩,콤플렉스,강박관념"
23,560,adulterate,"vt.불순하게하다,타락시키다,품질을떨어뜨리다,a.진짜가아닌,불순물을섞은"
23,561,sojourn,"vi.묶다,체류하다,일시 체재하다"
